siren,nom_complet,nom_raison_sociale,sigle,nombre_etablissements,nombre_etablissements_ouverts,code_postal,libelle_commune,departement,region,adresse,latitude,longitude,date_creation,etat_administratif,tranche_effectif_salarie,caractere_employeur,categorie_entreprise,nature_juridique
305362162,ASSURANCES 2000,ASSURANCES 2000,,488,323,93100,MONTREUIL,93,11,34 AVENUE LEON GAUMONT 93100 MONTREUIL,48.8516651236056,2.41605360388123,1976-01-01,A,32,,ETI,5710
383952470,CAISSE D'EPARGNE ET DE PREVOYANCE LOIRE-CENTRE (CELC),CAISSE D'EPARGNE ET DE PREVOYANCE LOIRE-CENTRE,CELC,340,203,45000,ORLEANS,45,24,7 RUE D'ESCURES 45000 ORLEANS,47.902449153,1.9070666122,1991-09-19,A,42,,GE,5660
479459570,MMA GESTION,MMA GESTION,,579,62,28000,CHARTRES,28,24,7 AVENUE MARCEL PROUST 28000 CHARTRES,48.4521134397622,1.53359679210175,2004-11-17,A,12,,GE,5599
350379251,APRIL MON ASSURANCE,APRIL MON ASSURANCE,,362,51,69006,LYON,69,84,12 RUE JULIETTE RECAMIER 69006 LYON,45.764617243858,4.85420718078075,1989-04-30,A,21,,ETI,5710
410569776,GAN PREVOYANCE,GAN PREVOYANCE,,154,49,75008,PARIS,75,11,8 A 10 8 RUE D'ASTORG 75008 PARIS,48.872591223,2.3200393401,1996-12-10,A,41,,GE,5599
751726076,ALBEA PATRIMOINE,ALBEA PATRIMOINE,,112,49,92270,BOIS-COLOMBES,92,11,70 AVENUE DE L’EUROPE 92270 BOIS-COLOMBES,48.906958748,2.2597257429,2012-05-18,A,22,,GE,5599
832189468,SFS FRANCE COURTAGE (SFS FRANCE COURTAGE),SFS FRANCE COURTAGE,,41,40,75008,PARIS,75,11,9 RUE BEAUJON 75008 PARIS,48.874928106,2.2991510051,2017-09-01,A,NN,,PME,5710
348220948,SEDGWICK FRANCE,SEDGWICK FRANCE,,103,38,92000,NANTERRE,92,11,5-6-IMMEUBLE LE CARILLON 5 ESPLANADE CHARLES DE GAULLE 92000 NANTERRE,48.8955570796246,2.22325713795563,1988-10-01,A,41,,ETI,5710
444275671,ASTORIA FINANCE (ASTORIA FINANCE),ASTORIA FINANCE,,67,38,75007,PARIS,75,11,5-7 5 RUE DE MONTTESSUY 75007 PARIS,48.859409754,2.2995936512,2002-11-21,A,22,,ETI,5710
311248637,WILLIS TOWERS WATSON FRANCE,WILLIS TOWERS WATSON FRANCE,,106,34,92800,PUTEAUX,92,11,TOUR HEKLA 52 AVENUE DU GENERAL DE GAULLE 92800 PUTEAUX,48.8893702197788,2.23493924324711,1900-01-01,A,51,,ETI,5710
480434281,ADEP,ADEP,,57,33,97122,BAIE-MAHAULT,971,01,IMMEUBLE WEST SIDE - ZI DE JARRY RUE FERDINAND FOREST 97122 BAIE-MAHAULT,16.241134755,-61.55949002,2004-12-21,A,22,,GE,5710
509280368,GESTION SERVICE AGENCES,GESTION SERVICE AGENCES,,190,32,45430,CHECY,45,24,LE CROC 45430 CHECY,47.906245289,2.0267230902,2009-01-01,A,12,,ETI,5499
384956884,LAPLACE,LAPLACE,,43,32,34080,MONTPELLIER,34,76,939 RUE DE LA CROIX VERTE 34080 MONTPELLIER,43.643936025,3.8429663248,1992-03-01,A,32,,ETI,5710
538503079,APS PREVOYANCE (APS PREVOYANCE APS ASSURANCE APS GESTION ASSURANCE CHEVALIER),APS PREVOYANCE,,41,30,13160,CHATEAURENARD,13,93,10 BUREAU PARC DES BAUMES AVENUE DE LA LIBERATION 13160 CHATEAURENARD,43.8849639598335,4.86602396782066,2011-12-09,A,12,,PME,5710
503659732,VALORITY GESTION PRIVEE,VALORITY GESTION PRIVEE,,45,30,69006,LYON,69,84,94 QUAI CHARLES DE GAULLE 69006 LYON,45.784155917,4.8503353042,2008-04-01,A,22,,ETI,5710
388156499,SIRCA SNC (SIRCA),SIRCA SNC,SIRCA,49,26,75015,PARIS,75,11,N°8 AU 10 8 BOULEVARD DE VAUGIRARD 75015 PARIS,48.842126312,2.319813298,1992-07-01,A,51,,GE,5202
498688126,SOCIETE DE GESTION ET DE TRANSMISSION D'AGENCES DE LA REGION NORD (SGTA NORD) (SGTA NORD),SOCIETE DE GESTION ET DE TRANSMISSION D'AGENCES DE LA REGION NORD,SGTA NORD,268,26,54000,NANCY,54,44,96 BOULEVARD D'AUSTRASIE 54000 NANCY,48.6907779165348,6.20162310288892,2007-06-15,A,12,,GE,5499
751953225,ACCES ASSURANCE,ACCES ASSURANCE,,27,24,93290,TREMBLAY-EN-FRANCE,93,11,2 AVENUE PASTEUR 93290 TREMBLAY-EN-FRANCE,48.942785962,2.5695189671,2012-07-06,A,11,,PME,5710
752220251,VALORIA CAPITAL,VALORIA CAPITAL,,26,23,75017,PARIS,75,11,14 AVENUE DE LA GRANDE ARMEE 75017 PARIS,48.875141344,2.2918776731,2012-06-06,A,12,,PME,5710
798671335,MANDAE,MANDAE,,65,21,94000,CRETEIL,94,11,8 RUE THOMAS EDISON 94000 CRETEIL,48.7976128757142,2.44569963568274,2013-11-04,A,22,,ETI,5710
907987010,SAGIPA 1,SAGIPA 1,,45,21,75008,PARIS,75,11,25 RUE DE PONTHIEU 75008 PARIS,48.8707591910085,2.30901814947619,2021-11-16,A,03,,PME,5710
421734286,LEADER ASSURANCES (RC),LEADER ASSURANCES,RC,21,19,78200,MANTES-LA-JOLIE,78,11,35 RUE DU VIEUX PILORI 78200 MANTES-LA-JOLIE,48.990744001,1.7138786475,1999-01-01,A,12,,PME,5499
378566533,UNOFI PATRIMOINE,UNOFI PATRIMOINE,,48,17,75001,PARIS,75,11,2 RUE MONTESQUIEU 75001 PARIS,48.863325248,2.3393682778,1990-05-14,A,22,,ETI,5599
485372247,OLIFAN COURTAGE (OLIFAN GROUP),OLIFAN COURTAGE,,29,15,13100,AIX-EN-PROVENCE,13,93,11 COURS GAMBETTA 13100 AIX-EN-PROVENCE,43.524734251,5.4552392046,2006-01-02,A,21,,PME,5499
523227080,MON ASSURANCE FACILE,MON ASSURANCE FACILE,,30,15,92800,PUTEAUX,92,11,1 RUE BELLINI 92800 PUTEAUX,48.8858351006407,2.25046591791682,2010-06-10,A,22,,GE,5599
440315943,VERLINGUE (VERLINGUE),VERLINGUE,,33,14,29000,QUIMPER,29,53,12 RUE DE KEROGAN 29000 QUIMPER,47.967874169,-4.094697764,2001-12-27,A,41,,ETI,5710
909470510,HOWDEN FRANCE SAS,HOWDEN FRANCE SAS,,21,14,75009,PARIS,75,11,13 RUE LA FAYETTE 75009 PARIS,48.873890179,2.3359376098,2022-01-18,A,21,,PME,5710
330942053,KEREIS EXPERTISES (MEDICAL CONSEIL - OPTIMA RETRAITE) (EXPER),KEREIS EXPERTISES,EXPER,15,13,59110,LA MADELEINE,59,32,1 RUE DES PROMENADES 59110 LA MADELEINE,50.6536067644778,3.06182621462662,1984-09-01,A,12,,ETI,5710
498484690,SOCIETE DE GESTION ET DE TRANSMISSION D'AGENCES DE LA REGION SUD (SGTA SUD),SOCIETE DE GESTION ET DE TRANSMISSION D'AGENCES DE LA REGION SUD,SGTA SUD,229,13,69003,LYON,69,84,TOUR SILEX 9 RUE DES CUIRASSIERS 69003 LYON,45.758880323,4.8558743426,2007-06-15,A,12,,GE,5499
388736159,ASSURANCE UNIE,ASSURANCE UNIE,,19,13,77400,LAGNY-SUR-MARNE,77,11,105 AVENUE DU GENERAL LECLERC 77400 LAGNY-SUR-MARNE,48.872299302,2.686069155,1992-09-15,A,12,,PME,5710
423162247,ARDISSON CONSEILS,ARDISSON CONSEILS,,16,13,06800,CAGNES-SUR-MER,06,93,30 B CHEMIN DES VALLIERES 06800 CAGNES-SUR-MER,43.667390728,7.1336237994,1999-04-01,A,03,,PME,5499
532922150,BUREAU D'ETUDE EN ASSURANCES ET COURTAGES DE L'OUTRE MER (ANSET ASSURANCES) (BEACOM),BUREAU D'ETUDE EN ASSURANCES ET COURTAGES DE L'OUTRE MER,BEACOM,17,13,97400,SAINT-DENIS,974,04,1 RUE DU BUTOR 97400 SAINT-DENIS,-20.8845715,55.465522886,2011-06-10,A,12,,PME,5710
431974963,ADVENIS WEALTH MANAGEMENT,ADVENIS WEALTH MANAGEMENT,,54,12,75017,PARIS,75,11,12 RUE MEDERIC 75017 PARIS,48.880357802,2.3035010521,2000-06-09,A,21,,ETI,5710
484304696,PRIMONIAL,PRIMONIAL,,42,12,75008,PARIS,75,11,6-8 6 RUE DU GENERAL FOY 75008 PARIS,48.877180025,2.3190289524,2005-09-22,A,32,,ETI,5710
572174415,MARSH SAS,MARSH SAS,,37,12,92800,PUTEAUX,92,11,TOUR ARIANE 5 PLACE DE LA PYRAMIDE 92800 PUTEAUX,48.889327212,2.243684833,1957-01-01,A,41,,ETI,5710
411415565,PREDICTIS,PREDICTIS,,42,11,92100,BOULOGNE-BILLANCOURT,92,11,14 RUE DE LA FERME 92100 BOULOGNE-BILLANCOURT,48.830687574,2.2383608471,1997-03-10,A,21,,PME,5710
444190474,AVENIR ASSURANCES (AVENIR ASSURANCES),AVENIR ASSURANCES,,14,11,97430,LE TAMPON,974,04,273 RUE HUBERT DELISLE 97430 LE TAMPON,-21.2779325,55.514292314,2002-11-20,A,12,,PME,5710
478715774,CAPFINANCES - CONSEIL - ASSURANCE - PATRIMOINE - FINANCES (CAPFINANCES),CAPFINANCES - CONSEIL - ASSURANCE - PATRIMOINE - FINANCES,CAPFINANCES,17,11,76230,BOIS-GUILLAUME,76,28,ZAC LA PLAINE DE LA RONCE 920 RUE AUGUSTIN FRESNEL 76230 BOIS-GUILLAUME,49.4880067200602,1.13585304249315,2004-10-08,A,12,,PME,5710
498456896,NORD-EST ASSURANCES,NORD-EST ASSURANCES,,126,11,54000,NANCY,54,44,4 RUE PIROUX 54000 NANCY,48.6905478336969,6.17488650270872,2007-06-01,A,12,,GE,5499
822532529,ODEALIM,ODEALIM,,13,11,75001,PARIS,75,11,14 RUE DE RICHELIEU 75001 PARIS,48.864479146,2.3364324372,2016-09-14,A,NN,,ETI,5710
323377739,HENNER,HENNER,,31,10,92200,NEUILLY-SUR-SEINE,92,11,14 BOULEVARD DU GENERAL LECLERC 92200 NEUILLY-SUR-SEINE,48.887570016,2.2577282812,1981-12-01,A,31,,ETI,5710
321502049,VERSPIEREN,VERSPIEREN,,31,10,59290,WASQUEHAL,59,32,1 AVENUE FRANCOIS MITTERRAND 59290 WASQUEHAL,50.683993251,3.1281438192,1981-01-01,A,42,,ETI,5599
498596352,SUD-EST ASSURANCES,SUD-EST ASSURANCES,,127,10,13006,MARSEILLE,13,93,24 AVENUE DU PRADO 13006 MARSEILLE,43.284168197,5.3843337185,2007-06-01,A,12,,GE,5499
789895968,SYNALP FINANCE (SYNALP),SYNALP FINANCE,,14,10,73420,MERY,73,84,300 RUE MONTREUIL 73420 MERY,45.645205674,5.9162479124,2012-11-28,A,11,,PME,5710
572059939,SIACI SAINT HONORE,SIACI SAINT HONORE,,20,9,75017,PARIS,75,11,39 RUE MSTISLAV ROSTROPOVITCH 75017 PARIS,48.889975187,2.3122000823,1957-01-01,A,42,,ETI,5710
808055941,ARK'ASSUR,ARK'ASSUR,,14,9,97435,SAINT-PAUL,974,04,121-123-ST GILLES LES HAUTS 121 ROUTE DE L'EPERON 97435 SAINT-PAUL,-21.041904,55.255770773,2014-12-01,A,12,,PME,5499
417501145,SUISSCOURTAGE (SUISSCOURTAGE),SUISSCOURTAGE,,12,9,06400,CANNES,06,93,74 BOULEVARD CARNOT 06400 CANNES,43.561280416168,7.01688426199484,1998-01-21,A,12,,PME,5499
420712168,AUTO CAILLE ASSURANCE REUNION SARL,AUTO CAILLE ASSURANCE REUNION SARL,,15,8,97460,SAINT-PAUL,974,04,80 RUE MARIUS ET ARY LEBLOND 97460 SAINT-PAUL,-21.00755076,55.273255529,1998-09-01,A,12,,ETI,5710
409852381,PREVARIS,PREVARIS,,17,8,42000,SAINT-ETIENNE,42,84,1 B BD PIERRE ANTOINE JM DALGABIO 42000 SAINT-ETIENNE,45.440852191,4.398936497,1996-10-01,A,12,,PME,5499
381175595,GROUPE POINT ASSUR CONSEIL 80 ASSURANCES PAYS DE SOMME,GROUPE POINT ASSUR CONSEIL 80 ASSURANCES PAYS DE SOMME,,13,8,80090,AMIENS,80,32,550 CHAUSSEE JULES FERRY 80090 AMIENS,49.87668025,2.3434975626,1991-02-13,A,11,,PME,5499
433462181,FRANCIS FASSOT,,,8,8,23480,CHAMBERAUD,23,75,LES RIBIERES 23480 CHAMBERAUD,46.04428053,2.0320545421,2000-09-25,A,NN,,PME,1000
340973775,ASSURANCES GESTION SERVICES (GROUPE AMI 3 F) (SAGESSE),ASSURANCES GESTION SERVICES,SAGESSE,38,8,31300,TOULOUSE,31,76,52 BOULEVARD GABRIEL KOENIGS 31300 TOULOUSE,43.5952168941472,1.41971161320441,1987-06-01,A,21,,PME,5710
509903621,DCB ASSURANCES,DCB ASSURANCES,,12,8,69170,TARARE,69,84,7 AVENUE CHARLES DE GAULLE 69170 TARARE,45.897524074,4.4338859275,2009-01-01,A,12,,PME,5499
343277505,ALIQUIS CONSEIL SAS,ALIQUIS CONSEIL SAS,,14,8,42300,ROANNE,42,84,15 RUE ANATOLE FRANCE 42300 ROANNE,46.0350473213246,4.0700183260118,1988-01-01,A,12,,GE,5710
905205159,HCD ASSURANCES,HCD ASSURANCES,,9,8,59140,DUNKERQUE,59,32,350 AVENUE DU STADE 59140 DUNKERQUE,51.03368693,2.3903013176,2021-10-14,A,11,,PME,5499
335244489,ALPTIS ASSURANCES,ALPTIS ASSURANCES,,22,8,69003,LYON,69,84,25 COURS ALBERT THOMAS 69003 LYON,45.748590938,4.8628173701,1986-03-06,A,41,,ETI,5710
339623860,ROEDERER,ROEDERER,,21,8,67100,STRASBOURG,67,44,2 RUE BARTISCH 67100 STRASBOURG,48.5519845369519,7.73839168929786,1986-11-15,A,32,,ETI,5710
908733280,JULIEN LAVARINI,,,8,8,43360,LORLANGES,43,84,2 LACHAUD 43360 LORLANGES,45.3147315471454,3.28089116654294,2022-01-01,A,NN,,PME,1000
533157558,SAG VIGNY DEPIERRE ASSURANCES,SAG VIGNY DEPIERRE ASSURANCES,,12,8,74160,ARCHAMPS,74,84,ARCHPARC   OXALIS 160 RUE GEORGES DE MESTRAL 74160 ARCHAMPS,46.1371513697673,6.11801624125571,2011-06-01,A,21,,PME,5599
483062741,AFFILIANCE ASSURANCES (AFFILIANCE ASSURANCE),AFFILIANCE ASSURANCES,AFFILIANCE ASSURANCE,15,8,08000,CHARLEVILLE-MEZIERES,08,44,35 AVENUE D'ARCHES 08000 CHARLEVILLE-MEZIERES,49.763409659,4.7190011056,2005-07-01,A,11,,PME,5499
820897874,H2R ASSURANCES (H2R ENTREPRISES),H2R ASSURANCES,,14,8,62780,CUCQ,62,32,1215 BOULEVARD EDMOND LABRASSE 62780 CUCQ,50.4811872270973,1.59144379197314,2016-06-13,A,12,,PME,5499
484293865,SARL DUCASSE SABATHIER ET ASSOCIES,SARL DUCASSE SABATHIER ET ASSOCIES,,7,7,32000,AUCH,32,76,8 RUE LOUIS AUCOIN 32000 AUCH,43.6484731075645,0.585370506695672,2005-10-01,A,11,,PME,5499
418299392,ASSURANCES NICOLE LACOUR,ASSURANCES NICOLE LACOUR,,7,7,97139,LES ABYMES,971,01,IMM SCI OFF GRAND CAMP 97139 LES ABYMES,16.251471396,-61.54151535,1997-01-01,A,12,,PME,5499
445386972,3 ASSUR,3 ASSUR,,12,7,81000,ALBI,81,76,155 AVENUE GAMBETTA 81000 ALBI,43.91699469,2.1442158761,2003-02-24,A,11,,PME,5499
479158933,STAMM ASSURANCES (STAMM ASSURANCES),STAMM ASSURANCES,,23,7,03000,MOULINS,03,84,1 RUE DE PONT 03000 MOULINS,46.564418058,3.3314431554,2004-10-01,A,11,,PME,5710
528573298,ASSUREXCEL,ASSUREXCEL,,11,7,61100,SAINT-GEORGES-DES-GROSEILLERS,61,28,5 RUE DES ESSARDS 61100 SAINT-GEORGES-DES-GROSEILLERS,48.777240436,-0.57130984,2010-11-25,A,12,,PME,5499
393666581,FILHET ALLARD ET CIE,FILHET ALLARD ET CIE,,19,7,33700,MERIGNAC,33,75,RUE MIGUEL DE CERVANTES 33700 MERIGNAC,44.825130259,-0.673404985,1994-01-14,A,41,,ETI,5710
808044747,PREST'ASSUR,PREST'ASSUR,,7,7,72160,CONNERRE,72,52,14 PLACE DE LA REPUBLIQUE 72160 CONNERRE,48.06010002,0.4922056578,2014-11-27,A,12,,PME,5499
824209787,LA FABRIQUE D'ASSURANCES,LA FABRIQUE D'ASSURANCES,,8,7,95120,ERMONT,95,11,14 RUE JEAN MERMOZ 95120 ERMONT,48.989399927,2.2623162558,2016-12-08,A,11,,PME,5499
917760712,LES ASSUREURS,LES ASSUREURS,,7,7,75015,PARIS,75,11,136 RUE DE VAUGIRARD 75015 PARIS,48.844817116,2.3188637195,2022-07-19,A,11,,PME,5499
501497218,FLORENT ESPRIT (EIRL FLORENT ESPRIT),,,12,7,52200,SAINTS-GEOSMES,52,44,2 PARC D'ACTIVITES DE L'AVENIR 52200 SAINTS-GEOSMES,47.829860157,5.3308152895,2008-01-01,A,03,,PME,1000
384714655,TESSON DE FROMENT,TESSON DE FROMENT,,19,7,85100,LES SABLES D'OLONNE,85,52,PARC D ACTILONNE 85100 LES SABLES D'OLONNE,46.514559806,-1.78786991,1992-02-12,A,12,,PME,5710
477659767,ALBIUS ASSURANCES,ALBIUS ASSURANCES,,16,7,68100,MULHOUSE,68,44,122 AVENUE ROBERT SCHUMAN 68100 MULHOUSE,47.758409054456,7.35027814716368,2004-07-01,A,11,,PME,5499
443647912,ETS LEGROS ASSURANCES,ETS LEGROS ASSURANCES,,15,7,97400,SAINT-DENIS,974,04,14 D RUE DU MARECHAL LECLERC 97400 SAINT-DENIS,-20.88058805,55.448531378,2002-08-19,A,11,,PME,5499
883788614,NEOREN ASSURANCES,NEOREN ASSURANCES,,8,7,68200,MULHOUSE,68,44,7 RUE GUSTAVE HIRN 68200 MULHOUSE,47.747294981,7.3008190587,2020-05-28,A,12,,PME,5499
510246788,SOLUTION FINANCEMENT,SOLUTION FINANCEMENT,,8,7,25300,PONTARLIER,25,27,LES EPINETTES 11 RUE ARTHUR BOURDIN 25300 PONTARLIER,46.9016615906812,6.34800370791443,2009-03-01,A,02,,PME,5710
